id,short_id,name,owner_id,projects_id,category,type,html,styles,data,children,meta,schema,actions,order_index,render_context,ai_instructions,visibility,usage_count,tags,rich_card_extractions_id,created_at,updated_at,slug,extraction_type,auto_refresh_data,extraction_status
2,xYuIjm,,38,1,atomic,,null,null,null,[],null,null,null,0,embedded,null,public,0,null,0,0,0,,none,false,no_extraction
3,Oz9GTe,,38,1,atomic,,null,null,null,[],null,null,null,0,embedded,null,public,0,null,0,0,0,,none,false,no_extraction
4,JEktnX,,38,1,atomic,,null,null,null,[],null,null,null,0,embedded,null,public,0,null,0,0,0,,none,false,no_extraction
5,W03SpV,,38,1,atomic,,null,null,null,[],null,null,null,0,embedded,null,public,0,null,0,0,0,,none,false,no_extraction
6,zzSJSB,,38,1,atomic,,null,null,null,[],null,null,null,0,embedded,null,public,0,null,0,0,0,,none,false,no_extraction
7,Qpf0oW,,38,1,atomic,,null,null,null,[],null,null,null,0,embedded,null,public,0,null,0,0,0,,none,false,no_extraction
8,cJPz1r,,38,1,atomic,,null,null,null,[],null,null,null,0,embedded,null,public,0,null,0,0,0,,none,false,no_extraction
9,5zwFJX,,38,1,atomic,,null,null,null,[],null,null,null,0,embedded,null,public,0,null,0,0,0,,none,false,no_extraction
10,e38Gnh,Vantler Accelerator Hero,null,0,atomic,Hero,<section class='vantler-hero' aria-label='Vantler Entrepreneur Accelerator Hero'><div class='container'><div class='badge'>🚀 Pre-Seed Funding Available</div><h1>{{headline}}</h1><p class='subheading'>{{subheading}}</p><div class='features'><span class='feature'>✨ LLM/AI Focus</span><span class='feature'>💰 Pre-Seed Capital</span><span class='feature'>🎯 Expert Mentorship</span></div><button class='cta-primary' data-action='apply'>{{ctaText}}</button><p class='trust-indicator'>Join 50+ funded entrepreneurs building the future of AI</p></div></section>,"{""h1"":{""color"":""#ffffff"",""fontSize"":""4rem"",""fontWeight"":""800"",""lineHeight"":""1.1"",""marginBottom"":""1.5rem""},"".badge"":{""border"":""1px solid rgba(255, 255, 255, 0.3)"",""display"":""inline-block"",""padding"":""0.75rem 1.5rem"",""fontSize"":""0.875rem"",""fontWeight"":""600"",""borderRadius"":""50px"",""marginBottom"":""2rem"",""backdropFilter"":""blur(10px)"",""backgroundColor"":""rgba(255, 255, 255, 0.2)""},"".feature"":{""border"":""1px solid rgba(255, 255, 255, 0.2)"",""padding"":""0.75rem 1.5rem"",""fontSize"":""1rem"",""fontWeight"":""500"",""borderRadius"":""12px"",""backdropFilter"":""blur(10px)"",""backgroundColor"":""rgba(255, 255, 255, 0.15)""},"".features"":{""gap"":""1.5rem"",""display"":""flex"",""flexWrap"":""wrap"",""marginBottom"":""3rem"",""justifyContent"":""center""},"".container"":{""width"":""100%"",""maxWidth"":""1200px"",""textAlign"":""center""},"".subheading"":{""color"":""rgba(255, 255, 255, 0.9)"",""margin"":""0 auto 3rem"",""fontSize"":""1.5rem"",""maxWidth"":""800px"",""lineHeight"":""1.6""},"".cta-primary"":{""color"":""#764ba2"",""border"":""none"",""cursor"":""pointer"",""padding"":""1.25rem 3rem"",""fontSize"":""1.25rem"",""boxShadow"":""0 10px 30px rgba(0, 0, 0, 0.2)"",""fontWeight"":""700"",""transition"":""all 0.3s ease"",""borderRadius"":""12px"",""marginBottom"":""2rem"",""backgroundColor"":""#ffffff""},"".vantler-hero"":{""color"":""#ffffff"",""display"":""flex"",""padding"":""4rem 2rem"",""minHeight"":""100vh"",""alignItems"":""center"",""background"":""linear-gradient(135deg, #667eea 0%, #764ba2 100%)"",""justifyContent"":""center""},"".trust-indicator"":{""color"":""rgba(255, 255, 255, 0.8)"",""margin"":""0"",""fontSize"":""0.875rem""},"".cta-primary:hover"":{""boxShadow"":""0 15px 40px rgba(0, 0, 0, 0.3)"",""transform"":""translateY(-2px)""}}","{""ctaText"":""Apply Now"",""headline"":""Accelerate Your LLM Startup"",""subheading"":""Get pre-seed funding, expert mentorship, and join a community of AI entrepreneurs building the next generation of intelligent applications""}",[],{},{},{},0,embedded,,,0,null,null,1760177638547,1760188361927,,none,false,no_extraction
11,ywKE6x,Vantler Features Grid,null,0,collection,FeaturesGrid,"<section class='features-section' aria-label='Why Choose Vantler'><div class='container'><div class='section-header'><h2>Why Choose Vantler</h2><p class='subtitle'>Everything you need to accelerate your AI startup from idea to funding</p></div><div class='features-grid'><div class='feature-card'><div class='icon'>💰</div><h3>Pre-Seed Capital</h3><p>Access $50K-$250K in pre-seed funding specifically for LLM and AI ventures</p></div><div class='feature-card'><div class='icon'>🧠</div><h3>Expert Mentorship</h3><p>Work directly with founders who've built and scaled successful AI companies</p></div><div class='feature-card'><div class='icon'>🚀</div><h3>Fast Track Program</h3><p>Go from application to funding decision in just 2 weeks</p></div><div class='feature-card'><div class='icon'>🤝</div><h3>Network Access</h3><p>Connect with top AI researchers, engineers, and other portfolio founders</p></div><div class='feature-card'><div class='icon'>🛠️</div><h3>Technical Support</h3><p>Access to compute credits, API partnerships, and technical infrastructure</p></div><div class='feature-card'><div class='icon'>📈</div><h3>Growth Resources</h3><p>Marketing, sales, and go-to-market support to scale your AI product</p></div></div></div></section>","{"".icon"":{""fontSize"":""2.5rem"",""marginBottom"":""1rem""},"".subtitle"":{""color"":""#64748b"",""margin"":""0 auto"",""fontSize"":""1.125rem"",""maxWidth"":""600px""},"".container"":{""margin"":""0 auto"",""maxWidth"":""1200px""},"".feature-card"":{""border"":""1px solid #e2e8f0"",""padding"":""2rem"",""boxShadow"":""0 1px 3px rgba(0, 0, 0, 0.05)"",""transition"":""all 0.3s ease"",""borderRadius"":""16px"",""backgroundColor"":""#ffffff""},"".features-grid"":{""gap"":""2rem"",""display"":""grid"",""gridTemplateColumns"":""repeat(auto-fit, minmax(320px, 1fr))""},"".feature-card p"":{""color"":""#64748b"",""fontSize"":""1rem"",""lineHeight"":""1.6""},"".section-header"":{""textAlign"":""center"",""marginBottom"":""4rem""},"".feature-card h3"":{""color"":""#1e293b"",""fontSize"":""1.25rem"",""fontWeight"":""700"",""marginBottom"":""0.75rem""},"".features-section"":{""padding"":""6rem 2rem"",""backgroundColor"":""#f8fafc""},"".section-header h2"":{""color"":""#0f172a"",""fontSize"":""2.5rem"",""fontWeight"":""800"",""marginBottom"":""1rem""},"".feature-card:hover"":{""boxShadow"":""0 12px 24px rgba(59, 130, 246, 0.15)"",""transform"":""translateY(-4px)"",""borderColor"":""#3b82f6""}}","{""subtitle"":""Everything you need to accelerate your AI startup from idea to funding"",""sectionTitle"":""Why Choose Vantler""}",[],{},"{""name"":""Vantler Accelerator Features"",""@type"":""ItemList"",""@context"":""https://schema.org"",""description"":""Benefits and features of the Vantler AI accelerator program""}",{},0,embedded,,public,0,null,null,1760179996750,1760179996750,,none,false,no_extraction
12,5AZ1Za,Vantler How It Works,null,0,collection,HowTo,"<section class='how-it-works' aria-label='Application Process'><div class='container'><div class='section-header'><h2>How It Works</h2><p class='subtitle'>From application to funding in 4 simple steps</p></div><div class='steps-container'><div class='step'><div class='step-number'>1</div><div class='step-content'><h3>Submit Application</h3><p>Tell us about your AI startup, your team, and your vision. Takes less than 10 minutes.</p></div></div><div class='connector'></div><div class='step'><div class='step-number'>2</div><div class='step-content'><h3>Initial Review</h3><p>Our team reviews your application within 48 hours. We look for strong teams tackling real AI problems.</p></div></div><div class='connector'></div><div class='step'><div class='step-number'>3</div><div class='step-content'><h3>Deep Dive Session</h3><p>Selected founders meet with our team for a 60-minute technical and business discussion.</p></div></div><div class='connector'></div><div class='step'><div class='step-number'>4</div><div class='step-content'><h3>Funding Decision</h3><p>We make our decision within 1 week. Accepted founders receive funding and start immediately.</p></div></div></div></div></section>","{"".step"":{""gap"":""2rem"",""display"":""flex"",""padding"":""2rem 0"",""alignItems"":""flex-start""},"".subtitle"":{""color"":""#64748b"",""margin"":""0 auto"",""fontSize"":""1.125rem"",""maxWidth"":""600px""},"".connector"":{""width"":""2px"",""height"":""40px"",""zIndex"":""1"",""position"":""relative"",""marginLeft"":""29px"",""backgroundColor"":""#cbd5e1""},"".container"":{""margin"":""0 auto"",""maxWidth"":""1100px""},"".step-number"":{""color"":""#ffffff"",""width"":""60px"",""height"":""60px"",""zIndex"":""2"",""display"":""flex"",""fontSize"":""1.5rem"",""position"":""relative"",""boxShadow"":""0 4px 12px rgba(59, 130, 246, 0.3)"",""alignItems"":""center"",""flexShrink"":""0"",""fontWeight"":""700"",""borderRadius"":""50%"",""justifyContent"":""center"",""backgroundColor"":""#3b82f6""},"".how-it-works"":{""padding"":""6rem 2rem"",""backgroundColor"":""#ffffff""},"".step-content"":{""flex"":""1"",""paddingTop"":""0.5rem""},"".section-header"":{""textAlign"":""center"",""marginBottom"":""4rem""},"".step-content p"":{""color"":""#64748b"",""fontSize"":""1rem"",""lineHeight"":""1.6""},"".step-content h3"":{""color"":""#1e293b"",""fontSize"":""1.5rem"",""fontWeight"":""700"",""marginBottom"":""0.5rem""},"".steps-container"":{""gap"":""0"",""display"":""flex"",""position"":""relative"",""flexDirection"":""column""},"".section-header h2"":{""color"":""#0f172a"",""fontSize"":""2.5rem"",""fontWeight"":""800"",""marginBottom"":""1rem""},""@media (max-width: 768px)"":{"".step"":{""textAlign"":""center"",""alignItems"":""center"",""flexDirection"":""column""},"".connector"":{""width"":""40px"",""height"":""2px"",""marginLeft"":""0""}}}","{""subtitle"":""From application to funding in 4 simple steps"",""sectionTitle"":""How It Works""}",[],{},"{""name"":""How to Apply to Vantler"",""step"":[{""name"":""Submit Application"",""text"":""Tell us about your AI startup, your team, and your vision"",""@type"":""HowToStep""},{""name"":""Initial Review"",""text"":""Our team reviews your application within 48 hours"",""@type"":""HowToStep""},{""name"":""Deep Dive Session"",""text"":""Selected founders meet with our team for a 60-minute discussion"",""@type"":""HowToStep""},{""name"":""Funding Decision"",""text"":""We make our decision within 1 week"",""@type"":""HowToStep""}],""@type"":""HowTo"",""@context"":""https://schema.org"",""description"":""Step-by-step guide to applying for Vantler accelerator""}",{},0,embedded,,public,0,null,null,1760180015185,1760180015185,,none,false,no_extraction
